2026-03-03 20:53:50 | WARNING | tensorflow | 5 out of the last 13 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x171ac25c0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2026-03-03 20:53:50 | INFO | src.train | Fold 3 [Lying02.mp4] — val_accuracy: 1.0000, val_loss: 0.0001
2026-03-03 20:53:50 | INFO | src.train | === Fold 4/30 — held-out: Lying02dupe.mp4 ===
2026-03-03 20:53:50 | INFO | src.train | Train: 4738 samples (29 videos), Val: 186 samples (1 videos)
2026-03-03 20:53:58 | WARNING | tensorflow | 5 out of the last 13 calls to <function TensorFlowTrainer.make_predict_function.<locals>.one_step_on_data_distributed at 0x171ed6fc0> triggered tf.function retracing. Tracing is expensive and the excessive number of tracings could be due to (1) creating @tf.function repeatedly in a loop, (2) passing tensors with different shapes, (3) passing Python objects instead of tensors. For (1), please define your @tf.function outside of the loop. For (2), @tf.function has reduce_retracing=True option that can avoid unnecessary retracing. For (3), please refer to https://www.tensorflow.org/guide/function#controlling_retracing and https://www.tensorflow.org/api_docs/python/tf/function for  more details.
2026-03-03 20:53:58 | INFO | src.train | Fold 4 [Lying02dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0001
2026-03-03 20:53:58 | INFO | src.train | === Fold 5/30 — held-out: Lying03.mp4 ===
2026-03-03 20:53:58 | INFO | src.train | Train: 4753 samples (29 videos), Val: 171 samples (1 videos)
2026-03-03 20:54:06 | INFO | src.train | Fold 5 [Lying03.mp4] — val_accuracy: 1.0000, val_loss: 0.0000
2026-03-03 20:54:06 | INFO | src.train | === Fold 6/30 — held-out: Lying04.mp4 ===
2026-03-03 20:54:06 | INFO | src.train | Train: 4750 samples (29 videos), Val: 174 samples (1 videos)
2026-03-03 20:54:14 | INFO | src.train | Fold 6 [Lying04.mp4] — val_accuracy: 1.0000, val_loss: 0.0003
2026-03-03 20:54:14 | INFO | src.train | === Fold 7/30 — held-out: Lying05.mp4 ===
2026-03-03 20:54:14 | INFO | src.train | Train: 4740 samples (29 videos), Val: 184 samples (1 videos)
2026-03-03 20:54:23 | INFO | src.train | Fold 7 [Lying05.mp4] — val_accuracy: 1.0000, val_loss: 0.0000
2026-03-03 20:54:23 | INFO | src.train | === Fold 8/30 — held-out: Reaching01.mp4 ===
2026-03-03 20:54:23 | INFO | src.train | Train: 4780 samples (29 videos), Val: 144 samples (1 videos)
2026-03-03 20:54:36 | INFO | src.train | Fold 8 [Reaching01.mp4] — val_accuracy: 1.0000, val_loss: 0.0106
2026-03-03 20:54:36 | INFO | src.train | === Fold 9/30 — held-out: Reaching01dupe.mp4 ===
2026-03-03 20:54:36 | INFO | src.train | Train: 4780 samples (29 videos), Val: 144 samples (1 videos)
2026-03-03 20:54:45 | INFO | src.train | Fold 9 [Reaching01dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0007
2026-03-03 20:54:45 | INFO | src.train | === Fold 10/30 — held-out: Reaching02.mp4 ===
2026-03-03 20:54:45 | INFO | src.train | Train: 4783 samples (29 videos), Val: 141 samples (1 videos)
2026-03-03 20:54:55 | INFO | src.train | Fold 10 [Reaching02.mp4] — val_accuracy: 1.0000, val_loss: 0.0025
2026-03-03 20:54:55 | INFO | src.train | === Fold 11/30 — held-out: Reaching02dupe.mp4 ===
2026-03-03 20:54:55 | INFO | src.train | Train: 4783 samples (29 videos), Val: 141 samples (1 videos)
2026-03-03 20:55:03 | INFO | src.train | Fold 11 [Reaching02dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0007
2026-03-03 20:55:03 | INFO | src.train | === Fold 12/30 — held-out: Reaching03.mp4 ===
2026-03-03 20:55:03 | INFO | src.train | Train: 4751 samples (29 videos), Val: 173 samples (1 videos)
2026-03-03 20:55:11 | INFO | src.train | Fold 12 [Reaching03.mp4] — val_accuracy: 1.0000, val_loss: 0.0203
2026-03-03 20:55:11 | INFO | src.train | === Fold 13/30 — held-out: Reaching03dupe.mp4 ===
2026-03-03 20:55:11 | INFO | src.train | Train: 4751 samples (29 videos), Val: 173 samples (1 videos)
2026-03-03 20:55:25 | INFO | src.train | Fold 13 [Reaching03dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0421
2026-03-03 20:55:25 | INFO | src.train | === Fold 14/30 — held-out: Reaching04.1.mp4 ===
2026-03-03 20:55:25 | INFO | src.train | Train: 4880 samples (29 videos), Val: 44 samples (1 videos)
2026-03-03 20:55:37 | INFO | src.train | Fold 14 [Reaching04.1.mp4] — val_accuracy: 1.0000, val_loss: 0.0005
2026-03-03 20:55:37 | INFO | src.train | === Fold 15/30 — held-out: Reaching04.2.mp4 ===
2026-03-03 20:55:37 | INFO | src.train | Train: 4869 samples (29 videos), Val: 55 samples (1 videos)
2026-03-03 20:55:50 | INFO | src.train | Fold 15 [Reaching04.2.mp4] — val_accuracy: 1.0000, val_loss: 0.0001
2026-03-03 20:55:50 | INFO | src.train | === Fold 16/30 — held-out: Reaching05.mp4 ===
2026-03-03 20:55:50 | INFO | src.train | Train: 4756 samples (29 videos), Val: 168 samples (1 videos)
2026-03-03 20:56:05 | INFO | src.train | Fold 16 [Reaching05.mp4] — val_accuracy: 1.0000, val_loss: 0.0002
2026-03-03 20:56:05 | INFO | src.train | === Fold 17/30 — held-out: Sitting01.mp4 ===
2026-03-03 20:56:05 | INFO | src.train | Train: 4757 samples (29 videos), Val: 167 samples (1 videos)
2026-03-03 20:56:13 | INFO | src.train | Fold 17 [Sitting01.mp4] — val_accuracy: 1.0000, val_loss: 0.0835
2026-03-03 20:56:13 | INFO | src.train | === Fold 18/30 — held-out: Sitting02.mp4 ===
2026-03-03 20:56:13 | INFO | src.train | Train: 4730 samples (29 videos), Val: 194 samples (1 videos)
2026-03-03 20:56:21 | INFO | src.train | Fold 18 [Sitting02.mp4] — val_accuracy: 1.0000, val_loss: 0.0005
2026-03-03 20:56:21 | INFO | src.train | === Fold 19/30 — held-out: Sitting02dupe.mp4 ===
2026-03-03 20:56:21 | INFO | src.train | Train: 4753 samples (29 videos), Val: 171 samples (1 videos)
2026-03-03 20:56:29 | INFO | src.train | Fold 19 [Sitting02dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0036
2026-03-03 20:56:29 | INFO | src.train | === Fold 20/30 — held-out: Sitting03.mp4 ===
2026-03-03 20:56:29 | INFO | src.train | Train: 4742 samples (29 videos), Val: 182 samples (1 videos)
2026-03-03 20:56:37 | INFO | src.train | Fold 20 [Sitting03.mp4] — val_accuracy: 1.0000, val_loss: 0.0018
2026-03-03 20:56:37 | INFO | src.train | === Fold 21/30 — held-out: Sitting04.mp4 ===
2026-03-03 20:56:37 | INFO | src.train | Train: 4738 samples (29 videos), Val: 186 samples (1 videos)
2026-03-03 20:56:46 | INFO | src.train | Fold 21 [Sitting04.mp4] — val_accuracy: 1.0000, val_loss: 0.0021
2026-03-03 20:56:46 | INFO | src.train | === Fold 22/30 — held-out: Sitting04dupe.mp4 ===
2026-03-03 20:56:46 | INFO | src.train | Train: 4748 samples (29 videos), Val: 176 samples (1 videos)
2026-03-03 20:56:54 | INFO | src.train | Fold 22 [Sitting04dupe.mp4] — val_accuracy: 1.0000, val_loss: 0.0001
2026-03-03 20:56:54 | INFO | src.train | === Fold 23/30 — held-out: Sitting05.mp4 ===
2026-03-03 20:56:54 | INFO | src.train | Train: 4756 samples (29 videos), Val: 168 samples (1 videos)
2026-03-03 20:57:02 | INFO | src.train | Fold 23 [Sitting05.mp4] — val_accuracy: 1.0000, val_loss: 0.0005
2026-03-03 20:57:02 | INFO | src.train | === Fold 24/30 — held-out: Standing01.mp4 ===
2026-03-03 20:57:02 | INFO | src.train | Train: 4733 samples (29 videos), Val: 191 samples (1 videos)
2026-03-03 20:57:11 | INFO | src.train | Fold 24 [Standing01.mp4] — val_accuracy: 1.0000, val_loss: 0.0168
2026-03-03 20:57:11 | INFO | src.train | === Fold 25/30 — held-out: Standing02.mp4 ===
2026-03-03 20:57:11 | INFO | src.train | Train: 4744 samples (29 videos), Val: 180 samples (1 videos)
2026-03-03 20:57:20 | INFO | src.train | Fold 25 [Standing02.mp4] — val_accuracy: 1.0000, val_loss: 0.0040
